CustomerID,RecencyScore,FrequencyScore,MonetaryScore,RFM,RFMScore,CustomerSegment
13747,1,1,1,3,1,Immediate Attention
17643,1,1,1,3,1,Immediate Attention
18011,1,1,1,3,1,Immediate Attention
15350,1,1,1,3,1,Immediate Attention
14576,1,1,1,3,1,Immediate Attention
12855,1,1,1,3,1,Immediate Attention
13011,1,1,1,3,1,Immediate Attention
15070,1,1,1,3,1,Immediate Attention
15923,1,1,1,3,1,Immediate Attention
14589,1,1,1,3,1,Immediate Attention
17967,1,1,1,3,1,Immediate Attention
15899,1,1,1,3,1,Immediate Attention
18113,1,1,1,3,1,Immediate Attention
16658,1,1,1,3,1,Immediate Attention
15180,1,1,1,3,1,Immediate Attention
13807,1,1,1,3,1,Immediate Attention
14821,1,1,1,3,1,Immediate Attention
15221,1,1,1,3,1,Immediate Attention
16679,1,1,1,3,1,Immediate Attention
16893,1,1,1,3,1,Immediate Attention
14413,1,1,1,3,1,Immediate Attention
16665,1,1,1,3,1,Immediate Attention
15503,1,1,1,3,1,Immediate Attention
17524,1,1,1,3,1,Immediate Attention
13948,1,1,1,3,1,Immediate Attention
18050,1,1,1,3,1,Immediate Attention
17752,1,1,1,3,1,Immediate Attention
14373,1,1,1,3,1,Immediate Attention
18269,1,1,1,3,1,Immediate Attention
15562,1,1,1,3,1,Immediate Attention
15266,1,1,1,3,1,Immediate Attention
15607,1,1,1,3,1,Immediate Attention
14889,1,1,1,3,1,Immediate Attention
18032,1,1,1,3,1,Immediate Attention
13144,1,1,1,3,1,Immediate Attention
14238,1,1,1,3,1,Immediate Attention
15395,1,1,1,3,1,Immediate Attention
14090,1,1,1,3,1,Immediate Attention
16387,1,1,1,3,1,Immediate Attention
15174,1,1,1,3,1,Immediate Attention
13551,1,1,1,3,1,Immediate Attention
13703,1,1,1,3,1,Immediate Attention
16757,1,1,1,3,1,Immediate Attention
13002,1,1,1,3,1,Immediate Attention
13161,1,1,1,3,1,Immediate Attention
15940,1,1,1,3,1,Immediate Attention
14457,1,1,1,3,1,Immediate Attention
13581,1,1,1,3,1,Immediate Attention
12956,1,1,1,3,1,Immediate Attention
14438,1,1,1,3,1,Immediate Attention
13584,1,1,1,3,1,Immediate Attention
15753,1,1,1,3,1,Immediate Attention
17881,1,1,1,3,1,Immediate Attention
17859,1,1,1,3,1,Immediate Attention
15843,1,1,1,3,1,Immediate Attention
16738,1,1,1,3,1,Immediate Attention
16148,1,1,1,3,1,Immediate Attention
14386,1,1,1,3,1,Immediate Attention
14371,1,1,1,3,1,Immediate Attention
16765,1,1,1,3,1,Immediate Attention
14760,1,1,1,3,1,Immediate Attention
16073,1,1,1,3,1,Immediate Attention
16349,1,1,1,3,1,Immediate Attention
16913,1,1,1,3,1,Immediate Attention
15397,1,1,1,3,1,Immediate Attention
18068,1,1,1,3,1,Immediate Attention
17117,1,1,1,3,1,Immediate Attention
15543,1,1,1,3,1,Immediate Attention
13684,1,1,1,3,1,Immediate Attention
16339,1,1,1,3,1,Immediate Attention
16078,1,1,1,3,1,Immediate Attention
15709,1,1,1,3,1,Immediate Attention
17995,1,1,1,3,1,Immediate Attention
17325,1,1,1,3,1,Immediate Attention
14247,1,1,1,3,1,Immediate Attention
17654,1,1,1,3,1,Immediate Attention
16598,1,1,1,3,1,Immediate Attention
17639,1,1,1,3,1,Immediate Attention
14165,1,1,1,3,1,Immediate Attention
18086,1,1,1,3,1,Immediate Attention
13226,1,1,1,3,1,Immediate Attention
15049,1,1,1,3,1,Immediate Attention
14962,1,1,1,3,1,Immediate Attention
13716,1,1,1,3,1,Immediate Attention
13299,1,1,1,3,1,Immediate Attention
14840,1,1,1,3,1,Immediate Attention
13185,1,1,1,3,1,Immediate Attention
14155,1,1,1,3,1,Immediate Attention
14041,1,1,1,3,1,Immediate Attention
15445,1,1,1,3,1,Immediate Attention
